sample-id,absolute-filepath,direction
WT_1,/projects/p31629/wssc/raw_reads/1350-01-WT-1_S125_L001_R1_001.fastq.gz,forward
WT_1,/projects/p31629/wssc/raw_reads/1350-01-WT-1_S125_L001_R2_001.fastq.gz,reverse
WT_2,/projects/p31629/wssc/raw_reads/1350-02-WT-2_S126_L001_R1_001.fastq.gz,forward
WT_2,/projects/p31629/wssc/raw_reads/1350-02-WT-2_S126_L001_R2_001.fastq.gz,reverse
WT_3,/projects/p31629/wssc/raw_reads/1350-03-WT-3_S127_L001_R1_001.fastq.gz,forward
WT_3,/projects/p31629/wssc/raw_reads/1350-03-WT-3_S127_L001_R2_001.fastq.gz,reverse
WT_4,/projects/p31629/wssc/raw_reads/1350-04-WT-4_S128_L001_R1_001.fastq.gz,forward
WT_4,/projects/p31629/wssc/raw_reads/1350-04-WT-4_S128_L001_R2_001.fastq.gz,reverse
WT_5,/projects/p31629/wssc/raw_reads/1350-05-WT-5_S129_L001_R1_001.fastq.gz,forward
WT_5,/projects/p31629/wssc/raw_reads/1350-05-WT-5_S129_L001_R2_001.fastq.gz,reverse
WT_6,/projects/p31629/wssc/raw_reads/1350-06-WT-6_S130_L001_R1_001.fastq.gz,forward
WT_6,/projects/p31629/wssc/raw_reads/1350-06-WT-6_S130_L001_R2_001.fastq.gz,reverse
WT_7,/projects/p31629/wssc/raw_reads/1350-07-WT-7_S131_L001_R1_001.fastq.gz,forward
WT_7,/projects/p31629/wssc/raw_reads/1350-07-WT-7_S131_L001_R2_001.fastq.gz,reverse
WT_8,/projects/p31629/wssc/raw_reads/1350-08-WT-8_S132_L001_R1_001.fastq.gz,forward
WT_8,/projects/p31629/wssc/raw_reads/1350-08-WT-8_S132_L001_R2_001.fastq.gz,reverse
WT_9,/projects/p31629/wssc/raw_reads/1350-09-WT-9_S133_L001_R1_001.fastq.gz,forward
WT_9,/projects/p31629/wssc/raw_reads/1350-09-WT-9_S133_L001_R2_001.fastq.gz,reverse
WT_10,/projects/p31629/wssc/raw_reads/1350-10-WT-10_S134_L001_R1_001.fastq.gz,forward
WT_10,/projects/p31629/wssc/raw_reads/1350-10-WT-10_S134_L001_R2_001.fastq.gz,reverse
WT_11,/projects/p31629/wssc/raw_reads/1350-11-WT-11_S135_L001_R1_001.fastq.gz,forward
WT_11,/projects/p31629/wssc/raw_reads/1350-11-WT-11_S135_L001_R2_001.fastq.gz,reverse
WT_12,/projects/p31629/wssc/raw_reads/1350-12-WT-12_S136_L001_R1_001.fastq.gz,forward
WT_12,/projects/p31629/wssc/raw_reads/1350-12-WT-12_S136_L001_R2_001.fastq.gz,reverse
WT_13,/projects/p31629/wssc/raw_reads/1350-13-WT-13_S137_L001_R1_001.fastq.gz,forward
WT_13,/projects/p31629/wssc/raw_reads/1350-13-WT-13_S137_L001_R2_001.fastq.gz,reverse
WT_14,/projects/p31629/wssc/raw_reads/1350-14-WT-14_S138_L001_R1_001.fastq.gz,forward
WT_14,/projects/p31629/wssc/raw_reads/1350-14-WT-14_S138_L001_R2_001.fastq.gz,reverse
WT_15,/projects/p31629/wssc/raw_reads/1350-15-WT-15_S139_L001_R1_001.fastq.gz,forward
WT_15,/projects/p31629/wssc/raw_reads/1350-15-WT-15_S139_L001_R2_001.fastq.gz,reverse
WT_16,/projects/p31629/wssc/raw_reads/1350-16-WT-16_S140_L001_R1_001.fastq.gz,forward
WT_16,/projects/p31629/wssc/raw_reads/1350-16-WT-16_S140_L001_R2_001.fastq.gz,reverse
WT_17,/projects/p31629/wssc/raw_reads/1350-17-WT-17_S141_L001_R1_001.fastq.gz,forward
WT_17,/projects/p31629/wssc/raw_reads/1350-17-WT-17_S141_L001_R2_001.fastq.gz,reverse
WT_18,/projects/p31629/wssc/raw_reads/1350-18-WT-18_S142_L001_R1_001.fastq.gz,forward
WT_18,/projects/p31629/wssc/raw_reads/1350-18-WT-18_S142_L001_R2_001.fastq.gz,reverse
WT_19,/projects/p31629/wssc/raw_reads/1350-19-WT-19_S143_L001_R1_001.fastq.gz,forward
WT_19,/projects/p31629/wssc/raw_reads/1350-19-WT-19_S143_L001_R2_001.fastq.gz,reverse
WC_1,/projects/p31629/wssc/raw_reads/1350-20-WC-1_S144_L001_R1_001.fastq.gz,forward
WC_1,/projects/p31629/wssc/raw_reads/1350-20-WC-1_S144_L001_R2_001.fastq.gz,reverse
WC_2,/projects/p31629/wssc/raw_reads/1350-21-WC-2_S145_L001_R1_001.fastq.gz,forward
WC_2,/projects/p31629/wssc/raw_reads/1350-21-WC-2_S145_L001_R2_001.fastq.gz,reverse
WC_3,/projects/p31629/wssc/raw_reads/1350-22-WC-3_S146_L001_R1_001.fastq.gz,forward
WC_3,/projects/p31629/wssc/raw_reads/1350-22-WC-3_S146_L001_R2_001.fastq.gz,reverse
WC_4,/projects/p31629/wssc/raw_reads/1350-23-WC-4_S147_L001_R1_001.fastq.gz,forward
WC_4,/projects/p31629/wssc/raw_reads/1350-23-WC-4_S147_L001_R2_001.fastq.gz,reverse
WC_5,/projects/p31629/wssc/raw_reads/1350-24-WC-5_S148_L001_R1_001.fastq.gz,forward
WC_5,/projects/p31629/wssc/raw_reads/1350-24-WC-5_S148_L001_R2_001.fastq.gz,reverse
